short_title;title;review_reference
JULIA DE SAINT PIERRE;JULIA DE SAINT PIERRE. A NOVEL. IN THREE VOLUMES.;
ALBERT DE NORDENSHILD;ALBERT DE NORDENSHILD: OR, THE MODERN ALCIBIADES. A NOVEL, TRANSLATED FROM THE GERMAN. IN TWO VOLUMES.;"CRn.s. 17: 194-8 (June 1796); MRn.s. 20: 346 (July 1796);AFII: 927."
MARY;"MARY; OR, THE USES OF ADVERSITY. A NOVEL IN 2 VOLUMES. BY MRS. CREECH.";
THE CASTLE OF INCHVALLY;THE CASTLE OF INCHVALLY: A TALE-ALAS! TOO TRUE. BY STEPHEN CULLEN, AUTHOR OF THE HAUNTED PRIORY, ETC. ETC. IN THREE VOLUMES.;"CR n.s. 20: 118 (May 1797); AF II: 949."
THE PAVILION;THE PAVILION. A NOVEL. IN FOUR VOLUMES.;"CR n.s. 17: 476 (Aug 1796}; MR n.s. 20: 345 (July 1796); AF II: 1019."
HANNAH HEWIT;"HANNAH HEWIT; OR, THE FEMALE CRUSOE. BEING THE HISTORY OF A WOMAN OF UNCOMMON MENTAL, AND PERSONAL ACCOMPLISHMENTS; WHO, AFTER A VARIETY OF EXTRAORDINARY AND INTERESTING ADVENTURES IN ALMOST EVERY STATION OF LIFE, FROM SPLENDID PROSPERITY TO ABJECT ADVERSITY, WAS CAST AWAY IN THE GROSVENOR EAST-INDIAMAN: AND BECAME FOR THREE YEARS THE SOLE INHABITANT OF AN ISLAND, IN THE SOUTH SEAS. SUPPOSED TO BE WRITTEN BY HERSELF.";"CR n.s. 23: 114 (May 1798); AF II: 1070."
ANCIENT AS IT IS AUTHENTIC;ANCIENT AS IT IS AUTHENTIC. TRANSLATED FROM THE NEUSTRIAN TONGUE INTO FRENCH BY M. DEGBACOBUB, AND FROM FRENCH INTO ENGLISH BY R. C. F.R.S. A.S.S. ACAD. PAR. VIND. PETROB. HOLM. LUGD. GOT. COMPL. EBUR. DUBL. ABERD. MEDIOL. PATAV. BURD. FLOR. SION. ROTH OM. GRUBST. SOCIUS PASTOR ARCADE, &C. &C.&C.;"CRn.s. 21: 87-90 (Sept 1797); AF II: 3606 ."
AMBROSE AND ELEANOR;"AMBROSE AND ELEANOR; OR, THE ADVENTURES OF TWO CHILDREN DESERTED ON AN UNINHABITED ISLAND. TRANSLATED FROM THE FRENCH. WITH ALTERATIONS, ADAPTING IT TO THE PERUSAL OF YOUTH, FOR WHOSE AMUSEMENT AND INSTRUCTION IT IS DESIGNED. BY THE AUTHOR OF THE ADVENTURES OF THE SIX PRINCESSES OF BABYLON; JUVENILE MAGAZINE; VISIT FOR A WEEK, &C.";"CR n.s. 17: 350-1 (July 1796); MR n.s. 20: 346 (July 1796); AF II: 3274."
UNDER THE PATRONAGE OF HER GRACE THE DUCHESS OF RUTLAND;UNDER THE PATRONAGE OF HER GRACE THE DUCHESS OF RUTLAND: THE HERMITAGE, A NOVEL, BY J.B. FISHER.;
JOAN!!! A NOVEL;JOAN!!! A NOVEL. BY MATILDA FITZ-JOHN. IN FOUR VOLUMES.;"CRn.s. 18: 236 (Oct 1796); MRn.s. 21: 460 (Dec l 796);AF II: 1448."
THE KNIGHTS OF THE SW AN;"THE KNIGHTS OF THE SW AN; OR, THE COURT OF CHARLEMAGNE: A HISTORICAL AND MORAL TALE: TO SERVE AS A CONTINUATION TO THE TALES OF THE CASTLE; AND OF WHICH ALL THE INCIDENTS THAT BEAR ANALOGY TO THE FRENCH REVOLUTION ARE TAKEN FROM HISTORY. TRANSLATED FROM THE FRENCH OF MADAME DE GENUS, AUTHOR OF THE THEATRE OF EDUCATION, ADELAIDE & THEODORE, &C. BY THE REV. MR. BERESFORD.";"MR n.s. 22: 93 (Jan 1797); AF II: 306."
THE DISAPPOINTED HEIR;THE DISAPPOINTED HEIR: OR, MEMOIRS OF THE ORMOND FAMILY. A NOVEL. IN TWO VOLUMES. BY A. GOMERSALL, AUTHOR OF ELEONORA, CITIZEN, &C.;"MR n.s. 22: 220 (Feb 1797); AF II: 1664."
THE WANDERINGS OF THE IMAGINATION;THE WANDERINGS OF THE IMAGINATION. BY MRS. GOOCH. IN TWO VOLUMES.;"CR n.s. 16: 220-1 (Feb 1796); AF II: 1670."
THE GENIUS;THE GENIUS: OR, THE MYSTERIOUS ADVENTURES OF DON CARLOS DE GRANDEZ. BY THE MARQUIS VON GROSSE. TRANSLATED FROM THE GERMAN, BY JOSEPH TRAPP, TRANSLATOR OF STOEVER'S LIFE OF LINNJEUS, PICTURE OF ITALY, &C. &C. IN TWO VOLUMES.;"CR n.s. 18: 342 (Nov 1796); MR n.s. 22: 93 (Jan 1797); AF II: 4516."
HORRID MYSTERIES;HORRID MYSTERIES. A STORY. FROM THE GERMAN OF THE MARQUIS OF GROSSE. BY P. WILL. IN FOUR VOLUMES.;CR n.s. 21: 473 (Dec 1797).
THE FORESTERS;THE FORESTERS. A NOVEL. ALTERED FROM THE FRENCH BY MISS GUNNING. IN FOUR VOLUMES.;"EngR 27: 274-7 (Mar 1796); AF II: 1754."
*DELVES;*DELVES, A WELCH TALE. BY MRS. GUNNING.;"CRn.s.18:236(Oct 1796);AFII: 1761."
TRANSLATION OF THE LETTERS OF A HINDOO RAJAH;"TRANSLATION OF THE LETTERS OF A HINDOO RAJAH; WRITTEN PREVIOUS TO, AND DURING THE PERIOD OF HIS RESIDENCE IN ENGLAND. TO WHICH IS PREFIXED A PRELIMINARY DISSERTATION ON THE HISTORY, RELIGION, AND MANNERS, OF THE HINDOOS. IN TWO VOLUMES. BY ELIZA HAMILTON.";"CR n.s. 17: 241-9 (July 1796); MR n.s. 21: 176-81 (Oct 1796); AF II: 1790."
MEMOIRS OF EMMA COURTNEY;MEMOIRS OF EMMA COURTNEY. BY MARY HAYS. IN TWO VOLUMES.;"CR n.s. 19: 109-11 (Jan 1797); MR n.s. 22: 443-9 (Apr 1797); AF II: 1862."
THE FARMER OF INGLEWOOD FOREST;THE FARMER OF INGLEWOOD FOREST, A NOVEL. IN FOUR VOLUMES. BY ELIZABETH HELME.;"CR n.s. 19: 227 (Feb 1797); AF II: 1887."
THE HISTORY OF NED EVANS;THE HISTORY OF NED EVANS. IN FOUR VOLUMES.;"CRn.s. 18: 341 (Nov 1796); MRn.s. 21: 207 (Oct 1796); AF II: 1927."
EDINGTON;EDINGTON: A NOVEL. BY RICHARD HEY, ESQ. IN TWO VOLUMES.;"CRn.s. 16: 360 (Mar 1796); MR n.s. 19: 351 (Mar 1796);AFII: 1933."
ANZOLETTA ZADOSKI;ANZOLETTA ZADOSKI. A NOVEL. IN TWO VOLUMES. BY MRS. HOWELL, AUTHOR OF GEORGINA, &C. &C.;"CR n.s. 21: 356 (Nov 1797); AF II: 2082."
GEORGINA;GEORGINA, A NOVEL. IN TWO VOLUMES. BY MRS. HOWELL. 680 1796;CR n.s. 16: 472-3 (Apr 1796).
ANGELO;ANGELO, A NOVEL, FOUNDED ON MELANCHOLY FACTS. WRITTEN BY EDWARD HENRY ILIFF, (LATE OF THE THEATRE ROYAL, HAY-MARKET.) IN TWO VOLUMES.;"CR n.s. 17: 351-2 (July 1796); MR n.s. 20: 232 (June 1796); AF II: 2151."
NATURE AND ART;NATURE AND ART. IN TWO VOLUMES. BY MRS. INCHBALD.;"CRn.s. 16: 325-30 (Mar 1796); MR n.s. 19: 453 (Apr 1796); AF II: 2173."
THE RUINS OF AVONDALE PRIORY;THE RUINS OF AVONDALE PRIORY. A NOVEL, IN THREE VOLUMES, BY MRS. KELLY, AUTHOR OF MADELINE, ABBEY ST. ASAPH, &C.;"BC 10: 434 ( Oct 1797); AF II: 2356."
TRAVELS BEFORE THE FLOOD;TRAVELS BEFORE THE FLOOD. AN INTERESTING ORIENTAL RECORD OF MEN AND MANNERS IN THE ANTEDILUVIAN WORLD, INTERPRETED IN FOURTEEN EVENING CONVERSATIONS BETWEEN THE CALIPH OF BAGDAD & HIS COURT. TRANSLATED FROM THE ARABIC.;"AR24: 520-3 (Nov 1796); AF II: 2412."
MANFREDI;MANFREDI, BARON ST. OSMUND. AN OLD ENGLISH ROMANCE. IN TWO VOLUMES. BY SARAH LANSDELL, TENTERDEN.;"CR n.s. 20: 353 (July 1797); AF II: 2462."
*DURVAL AND ADELAIDE;*DURVAL AND ADELAIDE. BY CATHERINE LARA.;"CRn.s. 18: 474-5 (Dec 1796); MRn.s. 19: 454 (Apr 1796);AF II: 2463."
LOUIS DE BONCOEUR;LOUIS DE BONCOEUR. A DOMESTICK TALE. BY CATHARINE LARA. IN TWO VOLUMES.;"CRn.s.18: 474 (Dec 1796); MRn.s.19: 453-4 (Apr 1796);AFII: 2464."
THE MONK;THE MONK: A ROMANCE. IN THREE VOLUMES. BY M. G. LEWIS, ESQ. M.P.;"CR n.s. 19: 194-200 (Feb 1797); MR n.s. 23: 451 (Aug 1797); AF II: 2551."
THE NEAPOLITAN;"THE NEAPOLITAN; OR, THE TEST OF INTEGRITY. A NOVEL. IN THREE VOLUMES. BY ELLEN OF EXETER.";"CR n.s. 21: 229-30 (Oct 1797); MR n.s. 22: 221 (Feb 1797); AF II: 2660."
THE ABBEY OF CLUGNY;THE ABBEY OF CLUGNY. A NOVEL. BY MRS. MEEKE, AUTHOR OF COUNT ST. BLANCARD. IN THREE VOLUMES.;"CR n.s. 16: 473 (Apr 1796); MR n.s. 19: 453 (Apr 1796); AF II: 2806."
LAURA;"LAURA; OR THE INFLUENCE OF A KISS. BY A. H. GESZNER. TRANSLATED FROM THE GERMAN.";"CR n.s. 22: 357 (Mar 1798 ); MR n.s. 22: 92 (Jan 1797); AF II: 2817."
EDWARD;EDWARD. VARIOUS VIEWS OF HUMAN NATURE, TAKEN FROM LIFE AND MANNERS, CHIEFLY IN ENGLAND. BY THE AUTHOR OF ZELUCO. IN TWO VOLUMES.;"CR n.s. 19: 15-21 (Jan 1797); MR n.s. 21: 399-403 (Dec 1796); AF II: 2934."
THE HERMIT OF CAUCASUS;THE HERMIT OF CAUCASUS, AN ORIENTAL ROMANCE. IN TWO VOLUMES. BY JOSEPH MOSER, AUTHOR OF TURKISH TALES, &C. &C.;"CR n.s. 25: 233 (Feb 1799 ); MR n.s. 22: 467-8 (Apr 1797); AF II: 2982."
THE HAUNTED CAVERN;THE HAUNTED CAVERN: A CALEDONIAN TALE. BY JOHN PALMER, JUN.;"CR n.s. 15: 480 (Dec 1795); MR n.s. 19: 88 (Jan 1796); AF II: 3202."
THE MYSTERY OF THE BLACK TOWER;THE MYSTERY OF THE BLACK TOWER, A ROMANCE, BY JOHN PALMER, JUN. AUTHOR OF THE HAUNTED CAVERN.;BC 10: 435 (Oct 1797).
THE MYSTERIOUS WARNING;THE MYSTERIOUS WARNING, A GERMAN TALE. IN FOUR VOLUMES. BY.MRS. PARSONS. AUTHOR OF VOLUNTARY EXILE, &C.;"CR n.s. 16: 474 (Apr 1796); AF II: 3237."
WOMEN AS THEY ARE;WOMEN AS THEY ARE. A NOVEL, IN FOUR VOLUMES, BY MRS. PARSO S, AUTHOR OF MYSTERIOUS WARNINGS, &C.;"CR n.s. 21: 472 (Dec 1797); AF II: 3242."
MONTGOMERY;"MONTGOMERY; OR, SCENES IN WALES. IN TWO VOLUMES.";CRn.s.19: 111 (Jan 1797).
ANTOINETTE;ANTOINETTE, A NOVEL, IN TWO VOLUMES.;"CR n.s. 16: 221-2 (Feb 1796); AF II: 3410."
MATILDA AND ELIZABETH;MATILDA AND ELIZABETH: A NOVEL. BY THE AUTHORS OF HONORIA SOMERVILLE, RAINSFORD PARK, THE BENEVOLENT QUIXOTE, &C. &C. IN FOUR VOLUMES.;"CR n.s. 18: 342 (Nov 1796); AF II: 3642."
ANGELINA;"ANGELINA; A NOVEL, IN THREE VOLUMES. BY MRS. MARY ROBINSON, AUTHOR OF POEMS, VANCENZA, THE WIDOW, &C. &C. &C. &C.";"CR n.s. 16: 397-400 (Apr 1796); MR n.s. 19: 350-1 (Mar 1796); AF II: 3822."
HUBERT DE SEVRAC;"HUBERT DE SEVRAC, A ROMANCE, OF THE EIGHTEENTH CENTURY; BY MARY ROBINSON, AUTHOR OF POEMS, ANGELINA, TI-JE SICILIAN LOVER, THE WIDOW, &C. &C. &C. IN THREE VOLUMES.";"CR n.s. 23: 472 (Aug 1798); MR n.s. 22: 91 (Jan 1797); AF II: 3826."
THE CHILDREN OF THE ABBEY;THE CHILDREN OF THE ABBEY, A TALE. IN FOUR VOLUMES. BY REGINA MARIA ROCHE.;BC 11: 77 (Jan 1798).
FROM THE FRENCH;FROM THE FRENCH.;"CR n.s. 22: 238 (Feb 1798); MR n.s. 22: 92 (Jan 1797); AF II: 3975."
THE MYSTIC CASTLE;"THE MYSTIC CASTLE; OR, ORPHAN HEIR. A ROMANCE. BY THE AUTHOR OF THE WANDERER OF THE ALPS. IN TWO VOLUMES.";
THE WANDERER OF THE ALPS;THE WANDERER OF THE ALPS: OR, ALPHONSO. A ROMANCE. IN TWO VOLUMES.;"CR n.s. 20: 352-3 (July 1797); AF II: 4106."
MARCHMONT;MARCHMONT: A NOVEL. BY CHARLOTTE SMITH. IN FOUR VOLUMES.;"CRn.s. 19: 256-60 (Mar 1797); MR n.s. 22: 468 (Apr l 797);AF II: 4140."
MARIA;"MARIA; OR, THE VICARAGE. A NOVEL. IN TWO VOLUMES.";"CR n.s. 18: 475 (Dec 1796); AF II: 2713."
CONSEQUENCES;CONSEQUENCES: OR, ADVENTURES AT RRAXALL CASTLE, A NOVEL. IN TWO VOLUMES. BY A GENTLEMAN.;"CRn.s. 18: 110 (Sept 1796); MR n.s. 20: 231-2 (June 1796); AF II: 4306."
THE GERMAN MISCELLANY;"THE GERMAN MISCELLANY; CONSISTING OF DRAMAS, DIALOGUES, TALES, AND NOVELS. TRANSLATED FROM THAT LANGUAGE, BY A. THOMSON, AUTHOR OF A POEM ON WHIST; THE PARADISE OF TASTE, &C.";"CR n.s. 20: 357-9 (July 1797); MR n.s. 22: 359 (Mar 1797); AF II: 4452."
THE SPRITE OF THE NUNNERY;"THE SPRITE OF THE NUNNERY; A TALE, FROM THE SPANISH. BY THE AUTHOR OF THE LIFE OF LINNJEUS, &C. IN TWO VOLUMES.";
THE BLACK VALLEY;"THE BLACK VALLEY; A TALE, FROM THE GERMAN OF VEIT WEBER, AUTHOR OF THE SORCERER.";"CR n.s. 19: 227 (Feb 1797); MR n.s. 21: 458-60 (Dec 1796); AF II: 4646."
THEODORE CYPHON;"THEODORE CYPHON; OR, THE BENEVOLENT JEW: A NOVEL. IN THREE VOLUMES. BY GEORGE WALKER, AUTHOR OF THE HOUSE OF TYNIAN, &C.";"CRn.s. 17: 238 (June 1796); MR n.s. 20: 476-7 (Aug 1796); AF II: 4663."
A GOSSIP'S STORY;A GOSSIP'S STORY, AND A LEGENDARY TALE. IN TWO VOLUMES. BY THE AUTHOR OF ADVANTAGES OF EDUCATION.;"CR n.s. 21: 228-9 (Oct 1797); MR n.s. 22: 92 (Jan 1797); AF II: 4741."
PRIVATE HISTORY OF PEREGRINUS PROTEUS;PRIVATE HISTORY OF PEREGRINUS PROTEUS, THE PHILOSOPHER. BY C. M. WIELAND. TRANSLATED FROM THE GERMAN. IN TWO VOLUMES.;"CR n.s. 23: 472-3 (Aug 1798); MR n.s. 22: 349-50 (Mar 1797); AF II: 4496."
ABSTRACT;ABSTRACT. A CHARACTER FROM LIFE. IN TWO VOLUMES.;"CRn.s. 19: 227 (Feb 1797); MRn.s. 22: 91-2 (Jan 1797);AFII: 6."
ADELINE DE COURCY;ADELINE DE COURCY. IN TWO VOLUMES.;"CR n.s. 22: 238 (Feb 1798); MR n.s. 26: 107 (May 1798); AF II: 20."
ANASTATIA;ANASTATIA: OR, THE MEMOIRS OF THE CHEVALIER LAROUX. INTERSPERSED WITH A VARIETY OF ANECDOTES FROM REAL LIFE. IN TWO VOLUMES. BY A LADY.;
CHARLES DACRES;CHARLES DACRES: OR, THE VOLUNTARY EXILE. AN HISTORICAL NOVEL, FOUNDED ON FACTS. IN TWO VOLUMES.;
DAYS OF CHIVALRY;DAYS OF CHIVALRY. A ROMANCE.;"CR n.s. 23: 473 (Aug 1798); AF II: 1018."
THE FORCE OF EXAMPLE;"THE FORCE OF EXAMPLE; OR, THE HISTORY OF HENRY AND CAROLINE: WRITTEN FOR THE INSTRUCTION AND AMUSEMENT OF YOUNG PERSONS.";"CR n.s. 27: 228 (Oct 1799); MR n.s. 28: 333 (Mar 1799); AF II: 1478."
THE GOVERNESS;THE GOVERNESS, OR COURTLAND ABBEY. A NOVEL.;"MR n.s. 25: 213 (Feb 1798); AF II: 1684."
THE HEIR OF MONTAGUE;THE HEIR OF MONTAGUE. A NOVEL. IN THREE VOLUMES.;CR n.s. 24: 471 (Dec 1798).
HENRY SOMERVILLE;HENRY SOMERVILLE, A TALE, BY THE AUTHOR OF HARTLEBOURN CASTLE. IN TWO VOLUMES.;"CRn.s. 20: 471-2 (Aug 1797);AF II: 1902."
THE HISTORY OF JULIA & CECILIA DE VALMONT;THE HISTORY OF JULIA & CECILIA DE VALMONT. WRITTEN BY A YOUNG LADY, LATELY DECEASED. IN TWO VOLUMES.;
THE HOUSE OF MARLEY;THE HOUSE OF MARLEY. A NOVEL. IN TWO VOLUMES.;
THE INQUISITION;THE INQUISITION.;"CR n.s. 21: 232-5 (Oct 1797); MR n.s. 23: 211 (June 1797); AF II: 2194."
THE KNIGHTS;"THE KNIGHTS; OR SKETCHES OF THE HEROIC AGE. A ROMANCE. IN THREE VOLUMES.";"CR n.s. 22: 237 (Feb 1798); MR n.s. 25: 453-6 (1798); AF II: 2427."
*THE LOTTERY;"*THE LOTTERY, OR MIDSUMMER RECESS; INTENDED FOR THE INFORMATION AND AMUSEMENT OF YOUNG PERSONS OF BOTH SEXES. THE SECOND EDITION.";
MILISTINA;MILISTINA: OR, THE DOUBLE INTEREST. A NOVEL. IN TWO VOLUMES. DEDICATED TO THE MARCHIONESS TOWNSEND.;"BC 12: 426 ( Oct 1798 ); AF II: 2864."
THE ORPHAN OF BOLLENBACH;"THE ORPHAN OF BOLLENBACH; OR, POLYCARP THE ADVENTURER. A ROMANCE. FROM THE GERMAN.";
PERCY;PERCY, OR THE FRIENDS, A NOVEL.;CR n.s. 20: 354 (July 1797).
THE POSTHUMOUS DAUGHTER;THE POSTHUMOUS DAUGHTER: A NOVEL. IN TWO VOLUMES.;
RANSPACH;"RANSPACH, OR MYSTERIES OF A CASTLE; A NOVEL, IN TWO VOLUMES. BY THE AUTHOR OF EDWARD DE COURCY, &C.";CR n.s. 22: 238-9 (Feb 1798).
THE SUBMISSIONS OF DEPENDENCE;THE SUBMISSIONS OF DEPENDENCE, A NOVEL. INTERSPERSED WITH POETRY.;"CR n.s. 20: 353-4 (July 1797); MR n.s. 24: 341-2 (Nov 1797); AF II: 4292."
ALL'S WELL THAT ENDS WELL;"ALL'S WELL THAT ENDS WELL; OR, ALVARO AND XIMENES. A SPANISH TALE. TRANSLATED FROM THE GERMAN OF DR. C. F. BAHRDT. IN TWO VOLUMES.";"MR n.s. 23: 451-2 (Aug 1797); AF II: 199."
AZEMIA;AZEMIA: A DESCRIPTIVE AND SENTIMENTAL NOVEL. INTERSPERSED WITH PIECES OF POETRY. BY JACQUETTA AGNETA MARIANA JENKS, OF BELLEGROVE PRIORY IN WALES. DEDICATED TO THE RIGHT HONORABLE LADY HARRIET MARLOW. TO WHICH ARE ADDED, CRITICISMS ANTICIPATED. IN TWO VOLUMES.;"CR n.s. 20: 470 (Aug 1797); MR n.s. 24: 338 (Nov 1797); AF II: 259."
THE BEGGAR GIRL AND HER BENEFACTORS;THE BEGGAR GIRL AND HER BENEFACTORS. IN SEVEN VOLUMES. BY MRS. BENNETT, AUTHOR OF WELCH HEIRESS, JUVENILE INDISCRETIONS, AGNES DE-COURCI, AND ELLEN COUNTESS OF CASTLE HOWELL.;"CR n.s. 22: 356-7 (Mar 1798); AF II: 297."
BUNGAY CASTLE;BUNGAY CASTLE: A NOVEL. BY MRS. BONHOTE. AUTHOR OF THE PARENTAL MONITOR, &C. IN TWO VOLUMES.;"CR 21: 234-5 ( Oct 1797); AF II: 400."
COUNT DONAMAR;COUNT DONAMAR: OR, ERRORS OF SENSIBILITY: A SERIES OF LETTERS, WRITTEN IN THE TIME OF THE SEVEN YEARS WAR, TRANSLATED FROM THE GERMAN. IN THREE VOLUMES.;"CRn.s. 21: 471 (Dec 1797); MRn.s. 27: 94 (Sept 1798); AF II: 428."
FRAGMENTS;FRAGMENTS: IN THE MANNER OF STERNE.;"CRn.s. 23: 353-6 (July 1798); MRn.s. 24: 271-4 (Nov 1797);AF II: 457."
LAURA;LAURA, OR THE ORPHAN. A NOVEL, IN TWO VOLUMES. BY MRS. BURTON, AUTHOR OF THE FUGITIVE, AN ARTLESS TALE.;"CR n.s. 23: 234 (June 1798); AF II: 561."
ROSE CECIL;ROSE CECIL. A NOVEL. IN THREE VOLUMES.;"CR n.s. 25: 234 ( 1799); AF II: 3872."
THE HORRORS OF OAKENDALE ABBEY;THE HORRORS OF OAKENDALE ABBEY. BY THE AUTHOR OF ELIZABETH.;
ANDRONICA;ANDRONICA, OR THE FUGITIVE BRIDE, A NOVEL, IN TWO VOLUMES. BY MARY CHARLTON.;"CR n.s. 21: 117 (Sept 1797); AF II: 669."
JAMES THE FATALIST AND HIS MASTER;JAMES THE FATALIST AND HIS MASTER. TRANSLATED FROM THE FRENCH OF DIDEROT. IN THREE VOLUMES.;"CR n.s. 20: 433-45 (Aug 1797); MR n.s. 23: 350 (July 1797); AF II: 1094."
THE NUN;THE NUN. BY DIDEROT. TRANSLATED FROM THE FRENCH.;"CR n.s. 19: 420-4 (Apr 1797); MR n.s. 23: 348-50 (July 1797); AF II: 1096."
VAURIEN;VAURIEN: OR, SKETCHES OF THE TIMES: EXHIBITING VIEWS OF THE PHILOSOPHIES, RELIGIONS, POLITICS, LITERATURE, AND MANNERS OF THE AGE. IN TWO VOLUMES. 712 1797;"CR 21: 293-300 (Nov 1797); AF II: 1106."
THE HISTORY OF JULIA D'HAUMONT;THE HISTORY OF JULIA D'HAUMONT: OR THE EVENTFUL CONNECTION OF THE HOUSE OF MONTMELIAN WITH THAT OF D'HAUMONT. BY THE REV. JAMES DOUGLAS, OF CHIDDINGFORD, SUSSEX.;
SANTA-MARIA;"SANTA-MARIA; OR, THE MYSTERIOUS PREGNANCY. A ROMANCE. IN THREE VOLUMES. BY I. FOX.";"CR n.s. 22: 113 (Jan 1798); MR n.s. 23: 210-11 (June 1797); AF II: 1497."
THE HISTORY OF V ANILLO GONZALES;"THE HISTORY OF V ANILLO GONZALES, SURNAMED THE MERRY BACHELOR. IN TWO VOLUMES. FROM THE FRENCH OF ALAINRENE LE SAGE, AUTHOR OF THE CELEBRATED NOVELS OF ""GIL BLAS"", AND ""THE DEVIL ON CRUTCHES.»";"CRn.s. 22: 302-6 (Mar 1798); MR n.s. 24: 103 (Sept 1797); AF II: 2487."
THE ORPHANS OF SNOWDON;THE ORPHANS OF SNOWDON. A NOVEL. BY MISS GUNNING. IN THREE VOLUMES.;CR n.s. 21: 4 73-4 (Dec 1797).
LOVE AT FIRST SIGHT;LOVE AT FIRST SIGHT. A NOVEL. FROM THE FRENCH. WITH ALTERA TI ONS AND ADDITIONS. BY MRS. GUNNING. IN FIVE VOLUMES.;"CR n.s. 21: 42-7 (Sept 1797); AF II: 1763."
THE BASTILE;THE BASTILE, OR, MANLY SENSIBILITY. A NOVEL, IN TWO VOLUMES. BYM.HARE.;
THE CHURCH OF ST;THE CHURCH OF ST. SIFFRID. IN FOUR VOLUMES.;"CR n.s. 21: 116-17 (Sept 1797); MR n.s. 24: 202-3 (Oct 1797); AF II: 1926."
THE SPOILED CHILD;THE SPOILED CHILD. A NOVEL, BY MRS. HOWELL, AUTHOR OF GEORGINA, ANZOLETTA ZADOSKI, &C.;"716 1797 CR n.s. 25: 233 (Feb 1799); AF II: 2087."
ISIDORA OF GALLICIA;ISIDORA OF GALLICIA: A NOVEL. IN TWO VOLUMES. BY MRS. HUGILL, AUTHOR OF COUNTESS OF HENNIBON, JULIA ORMESTON, THE PRINCE OF LEON, &C. &C.;"CR n.s. 22: 478 (Apr 1798); AF II: 2109."
DISOBEDIENCE;DISOBEDIENCE. A NOVEL. IN FOUR VOLUMES. BY THE AUTHOR OF PLAIN SENSE.;"CR n.s. 25: 232-3 (1799); AF II: 2234."
JOSCELINA;JOSCELINA: OR, THE REW ARDS OF BENEVOLENCE. A NOVEL. DEDICATED, BY PERMISSION, TO HER ROYAL HIGHNESS THE DUCHESS OF YORK. BY ISABELLA KELLY, AUTHOR OF MADELINE ABBEY, ST. ASAPH, &C. &C. IN TWO VOLUMES.;"CR n.s. 21: 116 (Sept 1797); MR n.s. 24: 339-41 (Nov 1797); AF II: 2354."
CLARA DUPLESSIS;CLARA DUPLESSIS, AND CLAIRANT: THE HISTORY OF A FAMILY OF FRENCH EMIGRANTS. TRANSLATED FROM THE GERMAN. IN THREE VOLUMES.;"CRn.s. 21: 355-6 (Nov 1797); MR n.s. 27: 94 (Sept 1798); AF II: 2441."
CANTERBURY TALES FOR THE YEAR 1797;CANTERBURY TALES FOR THE YEAR 1797. BY HARRIET LEE. CANTERBURY TALES. VOLUME THE SECOND. BY SOPHIA LEE. CANTERBURY TALES. VOLUME THE THIRD. BY SOPHIA AND HARRIET LEE.;"CR n.s. 22: 170-3 (Feb 1798), MR n.s. 25: 469-70 (Apr 1798), AF II: 2491; vol. 2 CRn.s. 23: 204-9 (June 1798), MRn.s. 27: 416-19 (Dec 1798),AF II: 2500; vol. 3 CR n.s. 26: 186-93 (June 1799), MR n.s. 30: 236-7 (Oct 1799), AF II: 2506. C S727.c.79.18-20; CME 3-628-48017-5; EM 6124: 4; ESTC t142428 (BI BL, 0, TAU; NA CSmH, CtY, MH-H, NjP, PU, TxU, ViU &c.; EA GOT, COR [vol. 1 only], ZAU [vol. 1 only], TaLN [vol. 2 only])."
CLARA LENNOX;"CLARA LENNOX; OR, THE DISTRESSED WIDOW. A NOVEL. FOUNDED ON FACTS. INTERSPERSED WITH AN HISTORICAL DESCRIPTION OF THE ISLE OF MAN. BY MRS. LEE. DEDICATED, BY PERMISSION, TO H.R.H. THE DUCHESS OF YORK. IN TWO VOLUMES.";"CRn.s. 23: 114-15 (May 1798);AF II: 2497."
MUNSTER ABBEY;MUNSTER ABBEY, A ROMANCE: INTERSPERSED WITH REFLECTIONS ON VIRTUE AND MORALITY: WRITTEN BY SIR SAMUEL EGERTON LEIGH: IN THREE VOLUMES. 720 1797;CRn.s. 22: 237-8 (Feb 1798).
PARENTAL DUPLICITY;"PARENTAL DUPLICITY; OR THE POWER OF ARTIFICE. A NOVEL IN THREE VOLUMES. BY P. S. M.";"CR n.s. 21: 472 (Dec 1797); MR n.s. 26: 106 (May 1798); AF II: 3213."
EDMUND AND ELEONORA;EDMUND AND ELEONORA: OR MEMOIRS OF THE HOUSE OF SUMMERFIELD & GRETTON. A NOVEL, IN TWO VOLUMES. BY THE REV. EDMUND MARSHALL, A.M.;"CR n.s. 20: 117-18 (May 1797); MR n.s. 22: 349 (Mar 1797); AF II: 2723."
THE MYSTERIOUS WIFE;THE MYSTERIOUS WIFE. A NOVEL, IN FOUR VOLUMES. BY GABRIELLI.;"CRn.s. 23: 232-3 (June 1798); AF II: 2809."
PALMIRA AND ERMANCE;PALMIRA AND ERMANCE. A NOVEL. IN THREE VOLUMES. BY MRS. MEEKE, AUTHOR OF COUNT ST. BLANCARD.;CRn.s.24: 236-7 (Oct 1798).
GRASVILLE ABBEY;GRASVILLE ABBEY: A ROMANCE. IN THREE VOLUMES.;"CR n.s. 21: 115-16 (Sept 1797); MR n.s. 25: 453 (Apr 1798); AF II: 2931."
